codeBar;name;Dosage;Form;Packaging;Famille;quantity;Seuil minimum;costPrice;sellPrice
PHYTOM_10//_SI_IV;Phytoménadione (Vitamine K1) , ampoule;"10 mg/ml; 1ml";;;MIJAMIJ;12 285;; 120,00; 165,00
PLASMA_30//_SF_IV;Plasma Substitut (Gélatine Modifiée) au moins 30g/litre;500 ml;;;MIJPERFUS; 323;;3 000,00;3 500,00
POCSAN_450////_//;Poche à Sang, Souple, CPDA, poche;450 ml;;;MLAMLA;1 500;; 900,00;1 250,00
POCURI_VVNS2L/_//;Poche à Urine, avec Valve de Vidange, Non Stérile, 2 litres;;;;MUEMUE;2 480;; 215,00; 330,00
POLYVI_10%1_SC_CU;Polyvidone iodée 10% , flacon doseur;125 ml;;;MUEMUE;1 119;; 850,00;1 200,00
POLYVI_4%//_SC_CU;Polyvidone iodée 4 % SCRUB rouge Fl/;125ml;;;MUEMUE; 1;;1 024,53;1 248,90
POTACH_10%/_AM_IV;Potassium Chlorure 10% 1 g (13 méq) /;10 ml;;;MIJAMIJ;4 330;; 150,00; 237,54
PVRMED_A4/////_//;Procès Verbal de reception des médicaments A4;;;;OGEOGE; 129;;1 500,00;2 500,00
QUINDI_300/_AM_IV;Quinine Dichlorhydrate , ampoule;"300 mg/ml; 600 mg / 2 ml";;;MIJAMIJ;18 380;; 150,00; 223,28
QUININ_300/_CP_OR;Quinine;300mg;Comprimé;;MSO;20 200;; 38,00; 44,00
RAMETR_RMT////_//;Rapport Mensuel de Trésorerie;;;;OGEOGE; 0;;2 953,75;3 000,00
RANITI_25//_SI_IV;Ranitidine;"25mg/ml; 50 mg/2ml";Injection;;MIJAMIJ;8 530;; 140,00; 168,00
RECOJO_A3/////_//;Registre de Consommation Jornalière;;;;OGEOGE; 142;;7 000,00;8 000,00
RINGER_500-_SF_IV;Ringer Lactate ,Perf.;500 ml;;;MIJPERFUS;1 104;; 450,00; 595,00
ROUEMB_10X30//_//;Rouleau d'Emballage Médicament 10kg x 33cm 45g;;;;MUEMUE; 63;;28 500,00;28 500,00
SACEMB_30X45//_//;d'emballage 30 x 45 cm 61 Microns;;Sachet;;MUEMUE;11 970;; 38,00; 132,00
SACKRA_20X40//_//;"Kraft Emballage Biodegradable""20x40""";;Sachet;;MUEMUE;11 271;; 28,00; 33,00
SACKRA_35X45///_//;d'emballage 35 x 45 cm 61 Microns;;Sachet;;MUEMUE;10 750;; 41,00; 50,16
SACKRA_38.5X60/_//;d'emballage 38.5 x 60 cm 61 Microns;;Sachet;;MUEMUE;6 358;; 55,00; 72,60
SACMIN_///////_//;minigrip;;Sachet;;MUEMUE;113 000;; 3,20; 4,22
SALBAE_200/_CL_OR;Salbutamol Aérosol, 200 Doses;;;;MUEMUE; 0;;1 375,00;1 815,00
SAPLEM_40X60//_//;plastique d'emballage avec logos;;Sachet;;MUEMUE; 0;; 182,18; 240,48
SAYPRE_////_//_//;SAYANA PRESS;;;;PCFPCF; 9;; 55,00; 72,60
SERING_UU10CC/_//;Seringue, 3 pièces, Luer, Usage Unique, 10cc;;;;MUEMUE;136 080;; 27,00; 46,20
SERING_UU20CC/_//;Seringue, 3 pièces, Luer, Usage Unique, 20cc;;;;DIMSERIN; 76;; 64,00; 140,00
SERING_UU5CC//_//;Seringue, 3 pièces, Luer, Usage Unique, 5cc;;;;MUEMUE;28 700;; 20,00; 37,15
SERING_UU60CC/_//;Seringue petit embout;60 ml;;;DIMADIM; 50;; 330,00; 396,00
SERINS_100UI//_//;Seringue pour Insuline, 3 pièces, Luer, UU, 1cc;;;;DIMSERIN;1 399;; 55,00; 79,20
SERVEI_////_AM_IM;Sérum Antivenimeux Polyvalent EBND;;;;MIJAMIJ; 117;;35 000,00;42 000,00
SOAP_UNPERFUMED;Soap Unperfumed;;;;MUEAIS; 0;; 325,00; 425,00
SODGLU_5.9%_SF_IV;Glucose 5% + Sodium Chlorure 0.9% , Perf.;500ml;;;MIJPERFUS;2 461;; 450,00; 524,00
SODICH_0.9%_SF_IV;Sodium Chlorure 0.9% ,Perf.;500 ml;;;MIJPERFUS;12 934;; 400,00; 590,24
SODICH_10%/_AM_IV;Sodium Chlorure 10%;10 ml;Injection;;MIJAMIJ;6 119;; 140,00; 198,00
SODROL_////_SI_IV;Prednisolone;40 mg;Injection;;MIJAMIJ; 0;;1 051,00;1 208,65
SOLHYD_1000///_//;hydroalcoolique de 1 litre;;Solution;;MUEMUE; 40;;1 600,94;2 150,00
SOLHYD_125////_//;hydroalcoolique de;125 ml;Solution;;MUEMUE; 55;; 332,70; 485,00
SOLHYD_500////_//;hydroalcoolique de;500 ml;Solution;;MUEMUE; 608;;1 005,00;1 333,20
SONGAS_ECCH16/_//;Sonde Gastrique, Embout Conique, Stérile, Usage Unique CH 16;;;;MUEMUE; 129;; 250,00; 550,00
SONGAS_ECCH16G_//;Sonde Gastrique, Embout Conique, Stérile,Usage Unique CH 16,Gros Embo;;;;MUEMUE; 0;; 350,00; 462,00
SONGAS_ECCH18/_//;Sonde Gastrique, Embout Conique, Stérile, Usage Unique CH 18;;;;MUEMUE; 87;; 250,00; 330,00
SONGAS_ECCH18G_//;Sonde Gastrique, Embout Conique, Stérile,Usage Unique CH 18,Gros Embo;;;;MUEMUE; 0;; 350,00; 462,00
SONGAS_ELCH6//_//;Sonde Gastrique, Embout Luer, Stérile, Usage Unique CH 6;;;;MUEMUE; 0;; 500,00; 550,00
SONGAS_ELCH8//_//;Sonde Gastrique, Embout Luer, Stérile, Usage Unique CH 8;;;;MUEMUE; 0;; 65,25; 550,00
SONVES_DB1CH14_//;Sonde Vésicale Droite à Ballonnet, 1 voie, Stérile, U U, CH14;;;;DIMSONDE; 0;; 365,00; 481,80
SONVES_DB2CH10_//;Sonde Vésicale Droite à Ballonnet, 2 voies, Stérile, U U, CH10;;;;MUEMUE; 119;; 400,00;1 137,84
SONVES_DB2CH14_//;Sonde Vésicale Droite à Ballonnet, 2 voies, Stérile, U U, CH14;;;;MUEMUE; 90;; 278,00; 481,80
SONVES_DB2CH16_//;Sonde Vésicale Droite à Ballonnet, 2 voies, Stérile, U U, CH16;;;;MUEMUE;1 559;; 250,00; 660,00
SONVES_DB2CH18_//;Sonde Vésicale Droite à Ballonnet, 2 voies, Stérile, U U, CH18;;;;MUEMUE;1 679;; 250,00; 660,00
SONVES_DB2CH20_//;Sonde Vésicale Droite à Ballonnet, 2 voies, Stérile, U U, CH20;;;;MUEMUE; 0;; 250,00; 330,00
SPAROZ_18X5///_CU;Sparadrap, à l'Oxyde de Zinc, Microperf.Non Stérile 18cm x 5m rouleau;;;;MUEMUE; 815;;2 000,00;2 640,00
SPECUL_UUM////_//;Speculum à UU moyen;;;;MUEMUE; 476;; 250,00; 330,00
SROZIN_245/_PO_OR;S.R.O / O.R.S + ZINC,qsp ,Kit de 2 Sachets.;1l;;;MSPMSIRO;11 429;; 350,00; 495,00
SULFA_PYR_500/_CP;Sulfadoxine Pyrimethamine (Maloxine) /3CP;500mg/25mg;Sachet;;MIJANPALU; 793;; 225,00; 400,00
SURGEAON_CAP_DISPO;SURGEON CAP DISPOSABLE;;;;MLAMLA; 0;; 0,00; 135,00
TAFURO_20//_SI_IV;Furosémide;20 mg;Injection;;MIJAMIJ; 900;; 290,70; 334,65
TDR_SYPHILIS;TDR SYPHILIS;;;B/50;REATDR; 0;; 0,00; 300,00
TETRAC_1%//_PM_CU;Tétracycline ophtalmique 1 % 5 g, tube;;Cutanée;;MUEMUE; 308;; 150,00; 237,60
THERMO_DIGCELS_//;Thermomètre Digital, graduations C°;;;;MUEMUE; 973;; 850,00;1 122,00
THERMO_MEDCELS_//;Thermomètre Médical, graduations C°;;;;MUEMUE;2 154;; 450,00; 594,00
THIOPE_1000_SI_IV;Thiopental sodique 1 g;;Injection;;MIJANEST; 36;;2 000,00;2 640,00
TRAMAD_100I_SI_IV;Tramadol;100 mg;Injection;;MIJAMIJ;9 304;; 300,00; 449,19
TROLLEY_TOWEL_DISP;Trolley towel, disposable sterile 1m;;;;EQMEQM; 0;;10 000,00;13 200,00
TUBTRA_UU/////_//;Tubulure pour Transfusion, Luer, Usage Unique, set complet;;;;MUEMUE; 486;; 249,00; 297,00
TULLE_GRAS_10;TULLE GRAS LOMA 10x10 /10;;;;DIMADIM; 0;; 196,20; 225,60
VASE_COOPER_T_45G;VASELINE T/;45G;;;MUEMUE; 90;;1 720,78;1 660,00
VITAMC_////_AM_IV;Vitamine C;;Injection;;MIJAMIJ;9 288;; 45,00; 180,05
VITAMM_////_CP_OR;Multivitamines, sous blister;;Comprimé;;MSO;30 700;; 7,00; 9,24
VITAMM_////_SP_10;Multivitamine 100ML;;Sirop;;MSPMSIRO;2 170;; 425,00; 580,00
VITBCP_////_CP_OR;Vitamines B Complexe (B1 +B6 +B12), sous;;Comprimé;;MSO;188 600;; 8,50; 10,35
VITBCP_////_SI_IV;Vitamin B complex;;Injection;;MIJAMIJ;47 120;; 50,00; 85,80
VOGALE_////_AM_IV;Métopimazine;"10mg/ml; 1 ml";Injection;;MIJAMIJ;5 837;; 218,70; 251,51
